"sub","r"
1,4.16596679689711
2,6.59792806940899
3,31.7318102323999
4,25.0568969354212
5,25.209312627309
6,6.18621614460339
7,10.5429818911499
8,18.4054943613521
9,24.3527315983974
10,10.8060051150526
11,2.54409074573979
12,2.14810883250429
13,8.83352174862779
14,6.51724603122211
15,8.46104962105067
16,7.99702110792462
17,7.49644447234858
18,6.47676516615673
19,10.5970717271501
20,10.6082061857058
21,9.18774490269451
22,3.25576935932027
23,30.6938352662855
24,7.58484108614391
25,5.01304633691174
26,4.04532254077316
27,8.85072033384679
28,13.3495792850838
29,4.0575249235822
30,4.42787893037879
31,13.9320840077188
32,32.704617482489
33,7.87922228879459
34,3.40155439713814
35,4.2136138762312
36,23.5624581381885
37,22.7754890970874
38,12.1296673756419
39,27.0726092911467
40,6.96684851706455
41,5.7508072249007
42,5.361826624135
43,15.2166489002467
44,14.0634395850209
45,12.5261597529345
46,18.9668222455952
47,34.0750777750625
48,12.2576330367517
49,14.3645008414046
50,11.6322679463024
51,11.7710517365145
52,13.7223034088845
53,6.49206729278729
54,19.4059385904914
55,18.5045803086652
56,24.9221149779691
57,0.846554656500441
58,6.93382842443511
59,8.37925408642973
60,31.4976077116793
61,11.892525122127
62,29.18723705156
63,10.3687938001326
64,29.526845652027
65,9.52585142285767
66,6.90404415152257
67,10.040985801751
68,8.55916306527953
69,1.52337481050645
70,18.3472105764314
71,17.9853693177502
72,29.0015816736047
73,4.87187535065166
74,4.88012096153839
75,5.22060947222303
76,11.0923376468671
77,14.9219852874189
78,6.03873034586812
79,10.8977500825862
80,8.75829196964721
81,2.91932892207518
82,11.1953555904711
83,10.6675813630506
84,8.72793090192885
85,11.9925047647129
86,6.93822446127707
87,11.7349749515141
88,26.0799801907191
89,3.51792558776478
90,6.68675103333153
91,12.1905113123026
92,2.31539916499027
93,18.6837199266593
94,20.3581261675398
95,17.1397929876799
96,18.9061701027262
97,8.68187463701146
98,6.34003604103104
99,13.6032283349674
100,8.92325463622743
