"sub","r","train_type"
1,2.80301628372455,1
2,16.9927236548012,1
3,26.9527216844043,2
4,6.09408400028484,2
5,13.4142737837575,1
6,5.73263092714933,1
7,27.9365098870664,2
8,34.741827540943,2
9,23.9214143242355,1
10,29.8952527485289,1
11,4.49431215088395,2
12,32.545345380708,2
13,4.67922733409052,1
14,7.17016944102336,1
15,6.88882097834198,2
16,10.4135626652593,2
17,10.0992951624253,1
18,5.33940762064612,1
19,29.3568576741955,2
20,13.3287486685591,2
21,9.45844210847511,1
22,12.3838840136863,1
23,29.7241406641433,2
24,15.5147260676635,2
25,12.8782053171448,1
26,7.39802475994523,1
27,13.8133859541766,2
28,19.1926244664746,2
29,11.6606431276456,1
30,10.4033377657758,1
31,16.4210839038294,2
32,33.4053536048155,2
33,7.7351836879331,1
34,9.22763568778308,1
35,6.34739956772258,2
36,12.0060479163899,2
37,15.3379469986303,1
38,24.7171233913195,1
39,25.8932900589734,2
40,23.728804603623,2
41,17.7894651950761,1
42,5.66422698805414,1
43,9.54145574756271,2
44,6.22557505331492,2
45,1.79445392738416,1
46,7.01346948201089,1
47,10.6654500618302,2
48,6.40705195487414,2
49,26.2879518715799,1
50,7.44120664634397,1
51,17.0088954994304,2
52,10.6135635871661,2
53,27.1082841594289,1
54,10.0382685932003,1
55,33.4630785907271,2
56,18.1478281099861,2
57,6.20231506665799,1
58,7.86844450531608,1
59,32.1875703221223,2
60,31.6936309242007,2
61,4.92031287932281,1
62,26.8069024504767,1
63,32.4199551657284,2
64,11.2924899639738,2
65,11.3699967481233,1
66,14.7593580947298,1
67,12.1122155600499,2
68,10.4912743898889,2
69,25.9402062429818,1
70,4.24299939188494,1
71,25.5019929964737,2
72,9.18744001884126,2
73,9.37282783598882,1
74,5.70226467425583,1
75,9.77471219205073,2
76,9.44713328887293,2
77,10.0141441781,1
78,5.95512310772731,1
79,10.2112299359525,2
80,26.7114265496299,2
81,1.61335801496125,1
82,9.91490838852031,1
83,13.0586417320017,2
84,4.40149523258037,2
85,6.45055318559208,1
86,6.40790741735046,1
87,10.5410325030911,2
88,33.1046172969754,2
89,16.905105347653,1
90,20.2163087367879,1
91,25.4679203601988,2
92,10.2101785653808,2
93,17.666451692979,1
94,8.17194589172706,1
95,25.7311799856135,2
96,17.2350777421199,2
97,8.65348973439826,1
98,5.046929815861,1
99,10.6006162337813,2
100,12.6171948517692,2
