"sub","context","r"
1,1,3.00026626950748
2,1,26.5407447807006
3,1,27.1332148038692
4,1,6.03099774347787
5,1,13.5920573772842
6,1,5.08208229326426
7,1,27.9097425321022
8,1,35.0662646200313
9,1,25.103640691119
10,1,32.8563780437866
11,1,4.05446445207004
12,1,32.8100110216664
13,1,3.69305713896892
14,1,6.02638017281482
15,1,7.73143052752206
16,1,10.9374702473223
17,1,9.96986434092233
18,1,5.29168197069
19,1,29.428118624789
20,1,13.2501476426356
21,1,10.0516049617171
22,1,11.1102515259845
23,1,29.6914989926951
24,1,16.3276203331321
25,1,17.3695055440229
26,1,8.63019383885877
27,1,17.548121208221
28,1,15.6761394042408
29,1,17.9608861259684
30,1,8.9119925354212
31,1,15.3469280584283
32,1,32.9690243827458
33,1,7.50569579385197
34,1,9.52660356222516
35,1,5.13551389848256
36,1,12.1157162544355
37,1,19.3041849614752
38,1,26.7760338729932
39,1,26.1867509505862
40,1,22.5916532120496
41,1,9.64617611170319
42,1,6.52808561636301
43,1,9.92412072398552
44,1,7.23829058495226
45,1,1.88980277792359
46,1,8.91140391910795
47,1,10.8344893807209
48,1,6.00718488295534
49,1,27.7651924492824
50,1,7.15766221887182
51,1,16.2242892844717
52,1,10.1342431831279
53,1,27.9899180436933
54,1,8.74965210895565
55,1,32.9136230226478
56,1,19.2880664548476
57,1,6.05817136544929
58,1,10.1332049128464
59,1,32.8061837554964
60,1,31.7286783294867
61,1,4.7194692826404
62,1,27.4672096258444
63,1,32.6648845008268
64,1,13.6668975362964
65,1,12.1383666489779
66,1,18.5855321983852
67,1,12.5538484800823
68,1,10.1993438253964
69,1,25.9765642716868
70,1,5.90006800283894
71,1,25.8048398015033
72,1,8.81320747994769
73,1,11.4803103806332
74,1,5.24956088649886
75,1,9.2580932062457
76,1,8.91337098448117
77,1,11.9592921229297
78,1,6.9829088329145
79,1,9.70286142192305
80,1,27.6190748803714
81,1,2.06023642665946
82,1,9.2077826454879
83,1,13.0322987030657
84,1,3.93224055363821
85,1,5.99693788975447
86,1,8.22960157309518
87,1,10.363141816627
88,1,33.0887509898546
89,1,15.2228260762693
90,1,20.7934871489927
91,1,27.2445911880269
92,1,11.2899179147897
93,1,14.6681501249591
94,1,10.8656586272191
95,1,25.7650873627837
96,1,22.4133326119219
97,1,9.14795127375571
98,1,4.97289430895212
99,1,10.9865774859118
100,1,12.4428959604034
1,2,2.60576629794161
2,2,7.44470252890178
3,2,26.7722285649393
4,2,6.15717025709182
5,2,13.2364901902308
6,2,6.38317956103439
7,2,27.9632772420307
8,2,34.4173904618548
9,2,22.739187957352
10,2,26.9341274532713
11,2,4.93415984969786
12,2,32.2806797397497
13,2,5.66539752921212
14,2,8.31395870923191
15,2,6.04621142916191
16,2,9.88965508319631
17,2,10.2287259839283
18,2,5.38713327060223
19,2,29.2855967236021
20,2,13.4073496944826
21,2,8.86527925523312
22,2,13.6575165013881
23,2,29.7567823355914
24,2,14.7018318021949
25,2,8.3869050902667
26,2,6.16585568103169
27,2,10.0786507001321
28,2,22.7091095287083
29,2,5.36040012932276
30,2,11.8946829961305
31,2,17.4952397492304
32,2,33.8416828268852
33,2,7.96467158201423
34,2,8.928667813341
35,2,7.5592852369626
36,2,11.8963795783443
37,2,11.3717090357854
38,2,22.6582129096458
39,2,25.5998291673605
40,2,24.8659559951964
41,2,25.932754278449
42,2,4.80036835974527
43,2,9.1587907711399
44,2,5.21285952167757
45,2,1.69910507684473
46,2,5.11553504491384
47,2,10.4964107429395
48,2,6.80691902679293
49,2,24.8107112938775
50,2,7.72475107381613
51,2,17.7935017143892
52,2,11.0928839912043
53,2,26.2266502751645
54,2,11.3268850774449
55,2,34.0125341588063
56,2,17.0075897651246
57,2,6.34645876786669
58,2,5.60368409778574
59,2,31.5689568887482
60,2,31.6585835189148
61,2,5.12115647600523
62,2,26.146595275109
63,2,32.1750258306299
64,2,8.9180823916513
65,2,10.6016268472686
66,2,10.9331839910743
67,2,11.6705826400176
68,2,10.7832049543813
69,2,25.9038482142769
70,2,2.58593078093094
71,2,25.1991461914441
72,2,9.56167255773483
73,2,7.26534529134445
74,2,6.1549684620128
75,2,10.2913311778558
76,2,9.98089559326469
77,2,8.06899623327041
78,2,4.92733738254011
79,2,10.719598449982
80,2,25.8037782188884
81,2,1.16647960326304
82,2,10.6220341315527
83,2,13.0849847609378
84,2,4.87074991152253
85,2,6.90416848142969
86,2,4.58621326160574
87,2,10.7189231895551
88,2,33.1204836040962
89,2,18.5873846190366
90,2,19.6391303245832
91,2,23.6912495323707
92,2,9.1304392159719
93,2,20.6647532609988
94,2,5.47823315623503
95,2,25.6972726084433
96,2,12.0568228723179
97,2,8.1590281950408
98,2,5.12096532276988
99,2,10.2146549816508
100,2,12.791493743135
